Lvl.,Gold,M,WS,BS,S,T,I,MA,RA,H,Skills
1,0,4,4,3,4,3,5,1,1,1D6+7,"Power of Archiper (D3), Renewed Vigor, Disorient "
2,2000,4,5,3,4,3,5,2,1,2D6+7,+1 Gift (3 total)
3,4000,4,5,3,4,3,5,2,2,2D6+7,+1 Gift (4 total)
4,8000,4,5,4,4,4,6,2,2,3D6+7,+1 Gift (5 total)
5,12000,5,5,4,4,4,6,3,2,3D6+7,Power of Archiper (D6)
6,18000,5,6,4,5,4,6,3,3,4D6+7,–
7,24000,5,6,5,5,4,7,3,3,4D6+7,+1 Gift (6 total)
8,32000,5,6,5,5,4,7,3,3,5D6+7,–
9,45000,5,7,5,5,4,7,4,3,5D6+7,+ 1 Gift (7 total)
10,50000,5,7,6,6,4,7,4,3,6D6+7,+1  Gift (8 total)
